student_id,assignment_update,assignment_upload,assignment_view,assignment_view_submission,chat_report,chat_talk,chat_view,forum_add_discussion,forum_add_post,forum_subscribe,forum_unsubscribe,forum_update_post,forum_user_report,forum_view_discussion,forum_view_forum,glossary_add_entry,glossary_update_entry,glossary_view,glossary_view_all,message_add_contact,message_block_contact,message_remove_contact,message_unblock_contact,message_write,quiz_view,resource_view,survey_submit,survey_view_form,survey_view_graph,user_view,lastweek,days
364,4,4,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,1,4,4,4,3,0,0
365,4,4,1,4,4,4,4,4,1,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,1,4,4,4,4,0,1
366,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,0,0
367,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,0,0
368,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
369,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,0,0
370,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,0,0
371,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,0,0
372,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
373,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,0,0
374,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
375,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,0,0
376,4,4,3,4,4,4,4,4,1,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,4,4,4,4,3,0,0
377,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,0,0
378,4,1,3,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,0,0
379,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,0,0
380,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,0,0
381,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,0,0
382,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,0,0
383,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
384,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,1,0
385,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,0,0
386,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,0,0
387,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,0,0
388,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,0,0
389,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
390,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,0,0
391,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,0,0
392,4,4,3,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,1,0
393,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,0,0
394,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,0,0
395,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,1,0,0
396,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,0,0
397,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,0,0
398,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,0,1
399,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,0,0
400,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,1,4,4,4,3,0,0
401,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,1,4,4,4,1,0,0
402,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,1,4,4,4,1,0,1
403,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
404,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,0,0
405,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,0,0
406,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,1,4,4,4,3,0,1
407,4,1,3,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,1,1
408,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,0,0
409,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,3,4,4,4,3,0,1
410,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,0,0
411,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,0,0
412,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,0,0
413,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,1,4,4,4,3,0,0
414,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,0,0
415,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,0,0
416,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,0,0
417,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,1,4,4,4,4,0,0
418,4,4,3,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,1,4,4,4,3,0,0
419,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,3,4,1,4,4,4,4,4,4,4,4,4,4,4,3,0,0
420,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,1,4,4,4,3,0,0
421,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,0,0
422,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,1,0,0
423,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,0,0
424,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,1,0,0
425,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,0,0
426,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,1,4,4,4,1,0,1
427,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,1,0,0
428,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,0,0
429,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,0,0
430,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,1,0,0
431,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,1,4,4,4,3,1,1
432,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,0,0
433,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,3,0,0
434,4,1,1,4,4,4,4,4,1,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,1,4,4,4,1,1,1
435,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,0,0
436,4,4,3,4,4,4,4,4,1,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,0,0
437,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,0
438,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,3,4,4,4,3,1,0
439,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,1,4,4,4,1,0,0
440,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,3,4,4,4,4,4,4,3,4,4,4,3,0,0
441,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,0,0
442,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,4,1,4,4,4,1,0,0
443,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
444,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,0,0
